Time, SOC, SOH, Pack Volt, s1, s2, s3, s4 ,s5 ,s6, Difference, Temp.
"10:42:24,508",100,100,25775,4284, 4291, 4286, 4307, 4314, 4294,30,34
"10:42:24,980",100,100,25774,4284, 4291, 4286, 4306, 4313, 4294,29,34
"10:42:25,529",100,100,25774,4284, 4291, 4286, 4306, 4313, 4294,29,34
"10:42:26,011",100,100,25773,4284, 4291, 4286, 4306, 4313, 4294,29,34
"10:42:26,981",100,100,25773,4284, 4291, 4286, 4306, 4313, 4294,29,34
"10:42:27,530",100,100,25774,4284, 4291, 4286, 4306, 4313, 4294,29,34
"10:42:28,025",100,100,25773,4284, 4291, 4286, 4306, 4313, 4294,29,34
"10:42:28,507",100,100,25773,4284, 4291, 4286, 4306, 4313, 4294,29,34
"10:42:29,006",100,100,25774,4284, 4291, 4286, 4306, 4313, 4294,29,34
"10:42:29,498",100,100,25774,4284, 4291, 4286, 4306, 4312, 4294,28,34
"10:42:30,000",100,100,25773,4284, 4291, 4286, 4306, 4313, 4294,29,34
"10:42:30,521",100,100,25774,4284, 4291, 4286, 4306, 4313, 4294,29,34
"10:42:31,012",100,100,25773,4283, 4291, 4286, 4306, 4313, 4294,30,34
"10:42:31,513",100,100,25773,4283, 4291, 4286, 4306, 4313, 4294,30,34
"10:42:32,504",100,100,25773,4283, 4291, 4286, 4306, 4313, 4294,30,34
"10:42:32,999",100,100,25773,4283, 4291, 4286, 4306, 4313, 4294,30,34
"10:42:33,514",100,100,25773,4283, 4291, 4286, 4306, 4313, 4294,30,34
"10:42:34,016",100,100,25772,4283, 4291, 4286, 4305, 4313, 4294,30,34
"10:42:34,511",100,100,25772,4283, 4291, 4286, 4306, 4313, 4293,30,34
"10:42:35,020",100,100,25772,4283, 4291, 4286, 4306, 4313, 4293,30,34
"10:42:35,516",100,100,25772,4283, 4291, 4286, 4306, 4313, 4293,30,34
"10:42:36,018",100,100,25774,4283, 4291, 4286, 4305, 4316, 4293,33,34
"10:42:36,520",100,100,25771,4283, 4290, 4286, 4305, 4313, 4293,30,34
"10:42:37,022",100,100,25772,4283, 4291, 4286, 4306, 4313, 4293,30,34
"10:42:37,531",100,100,25772,4283, 4291, 4286, 4306, 4313, 4293,30,34
"10:42:38,508",100,100,25772,4283, 4291, 4286, 4306, 4314, 4293,31,34
"10:42:39,010",100,100,25771,4283, 4291, 4285, 4306, 4313, 4293,30,34
"10:42:39,512",100,100,25771,4283, 4291, 4285, 4306, 4313, 4293,30,34
"10:42:40,007",100,100,25771,4283, 4291, 4285, 4306, 4313, 4293,30,34
"10:42:40,510",100,100,25770,4283, 4291, 4285, 4306, 4313, 4293,30,34
"10:42:41,058",100,100,25770,4283, 4291, 4285, 4305, 4313, 4293,30,34
"10:42:41,500",100,100,25770,4283, 4291, 4285, 4305, 4313, 4293,30,34
"10:42:41,996",100,100,25770,4283, 4291, 4285, 4305, 4313, 4293,30,34
"10:42:42,530",100,100,25769,4283, 4291, 4285, 4305, 4312, 4293,29,34
"10:42:43,013",100,100,25769,4283, 4291, 4285, 4305, 4313, 4293,30,34
"10:42:43,509",100,100,25771,4283, 4291, 4285, 4306, 4310, 4293,27,34
"10:42:44,024",100,100,25769,4283, 4291, 4285, 4306, 4311, 4293,28,34
"10:42:44,519",100,100,25769,4282, 4291, 4285, 4305, 4313, 4293,31,34
"10:42:45,014",100,100,25769,4283, 4291, 4285, 4305, 4313, 4293,30,34
"10:42:45,516",100,100,25770,4283, 4291, 4285, 4305, 4313, 4293,30,34
"10:42:46,012",100,100,25769,4283, 4291, 4285, 4305, 4312, 4293,29,34
"10:42:46,520",100,100,25769,4283, 4290, 4285, 4305, 4313, 4293,30,34
"10:42:47,036",100,100,25770,4283, 4291, 4285, 4305, 4313, 4293,30,34
"10:42:47,568",100,100,25770,4283, 4291, 4285, 4305, 4313, 4293,30,34
"10:42:48,027",100,100,25769,4283, 4291, 4285, 4305, 4312, 4293,29,34
"10:42:48,529",100,100,25769,4283, 4291, 4285, 4305, 4312, 4293,29,34
"10:42:49,012",100,100,25769,4283, 4291, 4285, 4305, 4312, 4293,29,34
"10:42:49,520",100,100,25769,4283, 4291, 4285, 4305, 4312, 4292,29,34
"10:42:50,035",100,100,25769,4283, 4291, 4285, 4305, 4313, 4293,30,34
"10:42:50,551",100,100,25769,4283, 4291, 4285, 4305, 4313, 4292,30,34
"10:42:51,026",100,100,25769,4283, 4291, 4285, 4305, 4312, 4292,29,34
"10:42:51,541",100,100,25767,4283, 4291, 4285, 4305, 4312, 4292,29,34
"10:42:52,023",100,100,25767,4282, 4291, 4285, 4305, 4312, 4292,30,34
"10:42:52,532",100,100,25767,4282, 4291, 4284, 4305, 4312, 4292,30,34
"10:42:53,021",100,100,25767,4282, 4291, 4285, 4305, 4312, 4292,30,34
"10:42:53,516",100,100,25767,4283, 4291, 4285, 4305, 4312, 4292,29,34
"10:42:54,011",100,100,25766,4282, 4291, 4285, 4304, 4312, 4292,30,34
"10:42:54,513",100,100,25765,4282, 4290, 4285, 4305, 4312, 4292,30,34
"10:42:55,098",100,100,25765,4282, 4290, 4285, 4305, 4311, 4292,29,34
"10:42:55,531",100,100,25765,4282, 4290, 4284, 4305, 4312, 4292,30,34
"10:42:56,039",100,100,25765,4282, 4290, 4284, 4305, 4312, 4292,30,34
"10:42:56,535",100,100,25765,4282, 4290, 4284, 4305, 4312, 4292,30,34
"10:42:57,057",100,100,25765,4282, 4290, 4284, 4305, 4312, 4292,30,34
"10:42:57,526",100,100,25765,4282, 4290, 4284, 4305, 4312, 4292,30,34
"10:42:58,022",100,100,25765,4282, 4290, 4284, 4305, 4312, 4292,30,34
"10:42:58,517",100,100,25765,4282, 4290, 4284, 4305, 4312, 4292,30,34
"10:42:59,019",100,100,25766,4282, 4290, 4284, 4305, 4312, 4292,30,34
"10:42:59,567",100,100,25765,4282, 4290, 4284, 4305, 4312, 4292,30,34
"10:43:00,023",100,100,25765,4282, 4290, 4284, 4305, 4312, 4292,30,34
"10:43:00,578",100,100,25765,4282, 4290, 4284, 4305, 4312, 4292,30,34
"10:43:01,067",100,100,25765,4282, 4290, 4284, 4305, 4312, 4292,30,34
"10:43:01,522",100,100,25765,4282, 4290, 4284, 4305, 4312, 4292,30,34
"10:43:02,024",100,100,25764,4282, 4290, 4284, 4305, 4312, 4292,30,34
"10:43:02,553",100,100,25763,4282, 4289, 4284, 4305, 4312, 4292,30,34
"10:43:03,062",100,100,25764,4282, 4289, 4284, 4305, 4312, 4292,30,34
"10:43:03,537",100,100,25764,4282, 4290, 4284, 4305, 4312, 4292,30,34
"10:43:04,039",100,100,25763,4281, 4289, 4284, 4305, 4312, 4292,31,34
"10:43:04,548",100,100,25764,4282, 4289, 4284, 4305, 4312, 4292,30,34
"10:43:05,030",100,100,25763,4282, 4289, 4284, 4305, 4312, 4292,30,34
"10:43:05,539",100,100,25763,4282, 4289, 4284, 4304, 4312, 4292,30,34
"10:43:06,037",100,100,25762,4282, 4289, 4284, 4304, 4312, 4292,30,34
"10:43:06,531",100,100,25762,4282, 4289, 4284, 4304, 4311, 4292,29,34
"10:43:07,090",100,100,25762,4282, 4289, 4284, 4304, 4311, 4292,29,34
"10:43:07,534",100,100,25762,4282, 4289, 4284, 4304, 4311, 4292,29,34
"10:43:08,055",100,100,25761,4281, 4289, 4284, 4304, 4311, 4292,30,34
"10:43:08,532",100,100,25762,4281, 4289, 4284, 4305, 4311, 4292,30,34
"10:43:09,033",100,100,25762,4281, 4289, 4284, 4305, 4311, 4292,30,34
"10:43:09,542",100,100,25761,4281, 4289, 4284, 4304, 4311, 4292,30,34
"10:43:10,057",100,100,25762,4282, 4289, 4284, 4304, 4311, 4292,29,34
"10:43:10,546",100,100,25762,4282, 4289, 4284, 4304, 4311, 4292,29,34
"10:43:11,074",100,100,25762,4281, 4289, 4284, 4304, 4311, 4292,30,34
"10:43:11,570",100,100,25762,4282, 4289, 4284, 4304, 4311, 4292,29,34
"10:43:12,052",100,100,25761,4282, 4289, 4284, 4304, 4311, 4292,29,34
"10:43:12,554",100,100,25761,4281, 4289, 4284, 4304, 4311, 4292,30,34
"10:43:13,056",100,100,25761,4281, 4289, 4284, 4304, 4311, 4292,30,34
"10:43:13,552",100,100,25761,4281, 4289, 4284, 4304, 4311, 4292,30,34
"10:43:14,058",100,100,25760,4281, 4289, 4284, 4304, 4311, 4292,30,34
"10:43:14,548",100,100,25761,4281, 4289, 4284, 4304, 4311, 4292,30,34
"10:43:15,044",100,100,25761,4281, 4289, 4284, 4304, 4311, 4291,30,34
"10:43:15,559",100,100,25761,4281, 4289, 4284, 4304, 4311, 4291,30,34
"10:43:16,055",100,100,25760,4281, 4289, 4283, 4304, 4311, 4291,30,34
"10:43:16,550",100,100,25759,4281, 4289, 4283, 4304, 4311, 4291,30,34
"10:43:17,046",100,100,25758,4281, 4289, 4283, 4304, 4311, 4291,30,34
"10:43:17,548",100,100,25758,4281, 4289, 4283, 4304, 4311, 4291,30,34
"10:43:18,084",100,100,25760,4281, 4289, 4284, 4304, 4311, 4291,30,34
"10:43:18,559",100,100,25759,4281, 4289, 4283, 4304, 4311, 4291,30,34
"10:43:19,047",100,100,25758,4281, 4289, 4283, 4304, 4311, 4291,30,34
"10:43:19,550",100,100,25760,4281, 4289, 4283, 4304, 4312, 4291,31,34
"10:43:20,051",100,100,25759,4281, 4289, 4283, 4304, 4311, 4291,30,34
"10:43:20,553",100,100,25759,4281, 4289, 4283, 4304, 4311, 4291,30,34
"10:43:21,049",100,100,25759,4281, 4289, 4283, 4304, 4311, 4291,30,34
"10:43:21,551",100,100,25759,4281, 4289, 4283, 4303, 4313, 4291,32,34
"10:43:22,053",100,100,25757,4281, 4288, 4283, 4303, 4312, 4291,31,34
"10:43:22,548",100,100,25758,4281, 4288, 4283, 4303, 4311, 4291,30,34
"10:43:23,057",100,100,25758,4280, 4289, 4283, 4304, 4312, 4291,32,34
"10:43:23,552",100,100,25759,4280, 4289, 4283, 4304, 4312, 4291,32,34
"10:43:24,054",100,100,25758,4281, 4289, 4283, 4304, 4311, 4291,30,34
"10:43:24,549",100,100,25758,4281, 4289, 4283, 4304, 4311, 4291,30,34
"10:43:25,065",100,100,25759,4281, 4289, 4283, 4304, 4311, 4291,30,34
"10:43:25,568",100,100,25758,4281, 4289, 4283, 4303, 4311, 4291,30,34
"10:43:26,072",100,100,25758,4281, 4288, 4283, 4303, 4311, 4291,30,34
"10:43:26,583",100,100,25757,4281, 4288, 4283, 4303, 4311, 4291,30,34
"10:43:27,054",100,100,25757,4281, 4288, 4283, 4303, 4311, 4291,30,34
"10:43:27,563",100,100,25756,4281, 4288, 4283, 4303, 4311, 4290,30,34
"10:43:28,065",100,100,25757,4281, 4288, 4283, 4303, 4311, 4291,30,34
"10:43:28,560",100,100,25756,4281, 4288, 4283, 4303, 4311, 4291,30,34
"10:43:29,075",100,100,25757,4281, 4288, 4283, 4303, 4308, 4291,27,34
"10:43:29,564",100,100,25755,4281, 4288, 4283, 4303, 4308, 4291,27,34
"10:43:30,066",100,100,25756,4281, 4288, 4283, 4303, 4310, 4291,29,34
"10:43:30,561",100,100,25756,4281, 4288, 4283, 4303, 4311, 4291,30,34
"10:43:31,063",100,100,25756,4280, 4288, 4283, 4303, 4311, 4291,31,34
"10:43:31,558",100,100,25755,4280, 4288, 4283, 4303, 4310, 4291,30,34
