Time, RSSI 1, RSSI 2, CINR 1, CINR 2
01:14:32,-99.5,-101.0,-0.5,-1.5
01:14:38,-100.0,-101.0,-0.5,-1.5
01:14:44,-100.0,-100.5,-0.5,-1.5
01:14:49,-100.0,-100.5,-0.5,-1.5
01:14:56,-100.0,-100.5,-0.5,-1.5
01:15:02,-99.5,-100.5,-0.5,-1.5
01:15:08,-99.5,-101.0,-0.5,-1.5
01:15:14,-100.0,-101.0,-0.5,-1.5
01:15:20,-98.5,-100.5,-0.5,-1.5
01:15:26,-99.5,-101.0,-0.5,-1.5
01:15:32,-99.5,-100.5,-0.5,-1.5
01:15:37,-99.5,-100.5,-0.5,-1.5
01:15:44,-99.5,-100.5,-0.5,-1.5
01:15:50,-100.0,-101.0,-0.5,-1.5
01:15:56,-99.5,-101.0,-0.5,-1.5
01:16:01,-98.5,-101.0,-0.5,-1.5
01:16:08,-99.5,-100.5,-0.5,-1.5
01:16:14,-99.5,-100.5,-0.5,-1.5
01:16:20,-99.5,-100.5,-0.5,-1.5
01:16:26,-99.5,-100.5,-0.5,-1.5
01:16:32,-100.0,-101.0,-0.5,-1.5
01:16:38,-98.5,-101.0,-0.5,-1.5
01:16:44,-99.5,-101.0,-0.5,-1.5
01:16:49,-100.0,-101.0,-0.5,-1.5
01:16:56,-99.5,-100.5,-0.5,-1.5
01:17:02,-99.5,-101.0,-0.5,-1.5
01:17:08,-99.5,-101.0,-0.5,-1.5
01:17:15,-98.5,-100.5,-0.5,-1.5
01:17:18,-99.5,-100.5,-0.5,-1.5
01:17:21,-98.5,-100.5,-0.5,-1.5
01:17:24,-99.5,-101.0,-0.5,-1.5
01:17:27,-99.5,-100.5,-0.5,-1.5
01:17:30,-100.0,-101.0,-0.5,-1.5
01:17:33,-99.5,-101.0,-0.5,-1.5
01:17:36,-99.5,-101.0,-0.5,-1.5
01:17:39,-100.0,-100.5,-0.5,-1.5
01:17:42,-98.5,-100.5,-0.5,-1.5
01:17:45,-99.5,-101.0,-0.5,-1.5
01:17:48,-99.5,-100.5,-0.5,-1.5
01:17:51,-99.5,-100.5,-0.5,-1.5
01:17:54,-99.5,-100.5,-0.5,-1.5
01:17:57,-100.0,-101.0,-0.5,-1.5
01:18:00,-99.5,-100.5,-0.5,-1.5
01:18:03,-100.0,-101.0,-0.5,-1.5
01:18:06,-100.0,-101.0,-0.5,-1.5
